sku,name,currentCategoryName,suggestedCategoryName,suggestedSubcategoryName,suggestedTags,suggestedContext
"1070","BATERÍA VEZR SAMSUNG A02S / A03 / A03S / A04 / A04E HQ-50S","Baterías","Baterias","","baterias|samsung|vezr|a03|a04",""
"1071","IC DE CARGA 13 PRO MAX TIGRIS","Ic de Carga","","","13 pro max",""
"1002","BATERIA VEZR SAMSUNG  SLC50 A03 CORE ","Baterías","Baterias","","baterias|samsung|vezr|a03",""
"1010","MALLA DESOLDANTE GOOT WICK","Herramientas e insumos","Herramientas e insumos","HERRAMIENTAS VARIAS","herramientas e insumos","Producto de herramientas e insumos para tecnico reparador."
"1015","PUNTA P/ CAUTIN T12 RELIFE J","Herramientas e insumos","Herramientas e insumos","","herramientas e insumos",""
"3332","MODULO SVC A31 C/M","Modulos","Modulos","","modulos|a31",""
"1016","VISOR DE CAMARA MOTO G10 / G20 / G30 ROSA","Visor de Camara","Visor de Camara","","visor de camara|moto|g10|g20|g30|lente camara|vidrio camara","Es visor/lente/vidrio externo de camara. No es camara frontal ni camara trasera completa."
"1022","TAPA IPHONE 16 VERDE TEAL CON MAGSAFE","Tapas","Tapas","","tapas|iphone|16",""
"1024","PLACA DE CARGA VEZR SAMSUNG A22 5G TURBO","Placa de Carga","Placa de Carga","","placa de carga|samsung|vezr|turbo|a22 5g",""
"1026","ALTAVOZ SAMSUNG A10S","Parlante","Parlante","","parlante|samsung",""
"1027","VIDRIO OCA+TACTIL IPHONE 11 PRO","Glass","Glass","","glass|iphone|11 pro","Es glass/tactil/OCA, no modulo completo de pantalla."
"1028","MODULO MOTO G6 PINK S/M","Modulos","Modulos","","modulos|moto|g6",""
"1029","TAPA SAMSUNG A24 LILA","Tapas","Tapas","","tapas|samsung|a24",""
"1030","MODULO LCD ZTE BLADE A72S / V40 VITA / V40 SMART / V41 / A72 / A72 4G   S/M ","Modulos","Modulos","","modulos|zte|a72|a72 4g",""
"1035","KIT DE BLINDAJES 13 PRO MAX","Blindajes","","","13 pro max",""
"3391","CAMARA TRASERA SAMSUNG A12 AMARILLO","Camaras","Camaras","","camaras|samsung|a12","Es camara completa del equipo, no visor/lente externo de camara."
"1045","TAPAS MOTOROLA G32 NEGRO","Tapas","Tapas","","tapas|motorola|moto|g32",""
"3780","MODULO SAMSUNG GALAXY S21 ULTRA SOFT OLED C/M","Modulos","Modulos","","modulos|samsung|oled|s21 ultra",""
"1048","ESTACION DE SOLDADO AIFEN A9 PRO","Herramientas e insumos","Herramientas e insumos","HERRAMIENTAS VARIAS","herramientas e insumos|a9 pro","Producto de herramientas e insumos para tecnico reparador."
"3742","FLEX HUELLA SAMSUNG A33 ","Sensor Huella","","","samsung|a33",""
"1052","MODULO LCD ZTE BLADE V50 DESING S/M","Modulos","Modulos","","modulos|zte",""
"1054","MODULO OLED MOTO G72 S/M","Modulos","Modulos","","modulos|moto|oled|g72",""
"1057","GLASS + OCA S6 EDGE AZUL","Glass","Glass","","glass|s6","Es glass/tactil/OCA, no modulo completo de pantalla."
"3515","REMOVEDOR DE CRISTAL RL-085","Herramientas e insumos","","","085",""
"1061","PLACA MADRE IPHONE 7 ","Placas","","","iphone|7",""
"1067","KIT DE BLINDAJES IPHONE 11 PRO MAX","Blindajes","","","iphone|11 pro max",""
"1069","BATERIA VEZR MOTOROLA MOTO G14 / G54 / PC50","Baterías","Baterias","","baterias|motorola|moto|vezr|g14|g54",""
"3671","BRAZO SOPORTE RELIFE RL-M28","Herramientas e insumos","Herramientas e insumos","HERRAMIENTAS VARIAS","herramientas e insumos|m28",""
"1001","PLACA MADRE S6","Placas","","","s6",""
"1007","MODULO OLED HUAWEI Y5 2018 S/M","Modulos","Modulos","","modulos|huawei|oled",""
"1008","SEPARADOR DE MODULOS SUNSHINE SS-601G","Herramientas e insumos","Modulos","","modulos",""
"1018","BATERIA MECHANIC MOTOROLA MOTO G71 / NG50 ","Baterías","Baterias","","baterias|motorola|moto|mechanic|g71",""
"1020","SOPORTE PARA PLACA RELIFE RL-TF2 PLUS","Herramientas e insumos","Herramientas e insumos","HERRAMIENTAS VARIAS","herramientas e insumos",""
"1023","FLEX SPEAKER SENSOR IPHONE 14","Speaker","Parlante","","parlante|iphone|14",""
"3506","TAPAS SAMSUNG A02S NEGRO","Tapas","Tapas","","tapas|samsung",""
"3096","TORNILLOS IP 8","Tornillos","","","8",""
"1033","PORTA SIM IPHONE 12 PRO NEGRO","Porta Sim","Porta Sim","","porta sim|iphone|12 pro",""
"3670"," MODULO LCD TCL 305 / 305I / 305E / 30SE","Modulos","Modulos","","modulos|tcl|305",""
"1034","ELECTRIC GLUE REMOVER MA ANT CJ-1","Herramientas e insumos","","","1",""
"1036","KIT BLINDAJES IPHONE 13","Blindajes","","","iphone|13",""
"1037","DESTORNILLADOR GRIFFIN N12 0.8","Herramientas e insumos","Herramientas e insumos","HERRAMIENTAS VARIAS","herramientas e insumos|0|8",""
"1041","BATERIA FOXCONN IPHONE 8G CAJA NEGRA","Baterías","Baterias","","baterias|iphone|foxconn",""
"3725","FLEX HUELLA SAMSUNG A05S PRETO ","Flex home","","","samsung",""
"1051","GLASS P9 LITE","Glass","Glass","","glass","Es glass/tactil/OCA, no modulo completo de pantalla."
"3210","ALTAVOZ IPHONE SE","Parlante","Parlante","","parlante|iphone",""
"1053","GLASS + OCA SAMSUNG A22 4G","Glass","Glass","","glass|samsung|a22 4g","Es glass/tactil/OCA, no modulo completo de pantalla."
"1055","GLASS + OCA LG K71","Glass","Glass","","glass|lg","Es glass/tactil/OCA, no modulo completo de pantalla."
"1059","TAPA DE IPHONE 16 PRO CON MAGSAFE BLANCO","Tapas","Tapas","","tapas|iphone|16 pro",""
"1068","TAPA IPHONE 12 PRO AZUL","Tapas","Tapas","","tapas|iphone|12 pro",""
"3710","CHASIS IPHONE 12 PRO BLANCO","Chasis","Chasis","","chasis|iphone|12 pro",""
"1074","VISOR DE CAMARA MOTO G10 / G20 / G30 GRIS","Visor de Camara","Visor de Camara","","visor de camara|moto|g10|g20|g30|lente camara|vidrio camara","Es visor/lente/vidrio externo de camara. No es camara frontal ni camara trasera completa."
"1004","ESTAÑO EN PASTA 138C PPD WONENG","Herramientas e insumos","Herramientas e insumos","HERRAMIENTAS VARIAS","herramientas e insumos","Producto de herramientas e insumos para tecnico reparador."
"3550","PLACA DE CARGA INFINIX SMART 7","Placa de Carga","Placa de Carga","","placa de carga|7",""
"1006","PLACA DE CARGA BEST MOTO EDGE 50 NEO TURBO","Placa de Carga","Placa de Carga","","placa de carga|moto|best|turbo|edge 50 neo",""
"1009","PLACA DE CARGA MASTERFIX SAMSUNG GALAXY S20 ULTRA","Placa de Carga","Placa de Carga","","placa de carga|samsung|masterfix|s20 ultra",""
"1012","PLACA DE CARGA VEZR XIAOMI RM NOTE 12 PRO 4G TURBO ","Placa de Carga","Placa de Carga","","placa de carga|xiaomi|vezr|turbo|note 12 pro",""
"1014","CAMARA FRONTAL SAMSUNG A20","Camaras","Camaras","","camaras|samsung|a20","Es camara completa del equipo, no visor/lente externo de camara."
"1019","FPC SAMSUNG A24","FPC","","","samsung|a24",""
"3765","ESTAÑO EN PASTA LUOWEI 138C","Herramientas e insumos","Herramientas e insumos","HERRAMIENTAS VARIAS","herramientas e insumos","Producto de herramientas e insumos para tecnico reparador."
"3209","ALTAVOZ IPHONE 6 PLUS","Parlante","Parlante","","parlante|iphone|6 plus",""
"3115","TAG ON JCID BATERIA IPHONE 11 PRO/11 PRO MAX","Tag on","Baterias","","baterias|iphone|jcid|11 pro|11 pro max",""
"3254","FLEX DE CARGA VEZR IPHONE 8G","Flex de Carga","Flex de Carga","","flex de carga|iphone|vezr",""
"1038","MODULO SUNLONG SAMSUNG S24 ULTRA C/M","Modulos","Modulos","","modulos|samsung|sunlong|s24 ultra",""
"1039","ESTACION DE CALOR QUICK 861DW 220V","Herramientas e insumos","Herramientas e insumos","HERRAMIENTAS VARIAS","herramientas e insumos","Producto de herramientas e insumos para tecnico reparador."
"1042","FLEX MAIN XIAOMI NOTE 9","Main Flex","Main Flex","","main flex|xiaomi|note 9",""
"1043","VIDRIO + OCA IP 11 PRO MAX","Glass","Glass","","glass|11 pro max","Es glass/tactil/OCA, no modulo completo de pantalla."
"1044","BATERIA VEZR SAMSUNG S22 PLUS / EB-BS906ABY","Baterías","Baterias","","baterias|samsung|vezr|s22 plus",""
"1047","EXTRACTOR DE HUMO P/ TRINO RELIFE RL-6600 GRIS","Herramientas e insumos","Herramientas e insumos","","herramientas e insumos",""
"1050","TAPA MOTOROLA G100 AZUL","Tapas","Tapas","","tapas|motorola|moto|g100",""
"3024","BATERIA SONY E2003","Baterías","Baterias","","baterias",""
"3187","PLACA MADRE IPHONE 13 PRO","Placas","","","iphone|13 pro",""
"1060","PLACA MADRE DE IPHONE 8 PLUS","Placas","","","iphone|8 plus",""
"1062","LECTOR DE SIM IPHONE 11 ","Socalo de Sim","","","iphone|11",""
"1063","MODULO SUNLONG SAMSUNG A13","Modulos","Modulos","","modulos|samsung|sunlong|a13",""
"1064","PLACA DE CARGA VEZR MOTOROLA G34 TURBO","Placa de Carga","Placa de Carga","","placa de carga|motorola|moto|vezr|turbo|g34",""
"1065","FPC DE SAMSUNG A51/A30S/A31/A70/A71","FPC","","","samsung|a51|a31|a70|a71",""
"1072","SOPORTE PARA PLACA YCS H03","Herramientas e insumos","Herramientas e insumos","HERRAMIENTAS VARIAS","herramientas e insumos",""
"1078","ALTAVOZ SAMSUNG A01 ","Parlante","Parlante","","parlante|samsung|a01",""
"1079","PLACA DE CARGA SVC SAMSUNG A04 E/ CAJA","Placa de Carga","Placa de Carga","","placa de carga|samsung|a04",""
"1084","BATERIA DIAGNOSTICO IPHONE IPHONE 12 MINI ","Baterías","Baterias","","baterias|iphone|12",""
"1085","ALTAVOZ SAMSUNG A11","Parlante","Parlante","","parlante|samsung|a11",""
"1086","FPC SAMSUNG S21 FE N°1","FPC","","","samsung|s21 fe|1",""
"3760","PAQUETE DE LAMINA P/ HIDROGEL GRIFFIN GF-1916 CLEAR","","Glass","","glass",""
"1089","BATERIA DIAGNOSTICO IPHONE 15","Baterías","Baterias","","baterias|iphone|15",""
"1094","MODULO LCD MOTOROLA E30/E40 S/M XT2159","Modulos","Modulos","","modulos|motorola|moto|e30|e40",""
"1095","FPC SAMSUNG S21","FPC","","","samsung|s21",""
"1102","PLACA DE CARGA MECHANIC A04S/A047F","Placa de Carga","Placa de Carga","","placa de carga|mechanic",""
"1107","PORTA SIM MOTO G22 CELESTE","Porta Sim","Porta Sim","","porta sim|moto|g22",""
"1108","GLASS + OCA G7 PLUS","Glass","Glass","","glass|g7 plus","Es glass/tactil/OCA, no modulo completo de pantalla."
"3648","FLEX POWER/HUELLA SM A12 ROJO","Power Flex","","","a12",""
"1113","FPC SAMSUNG S23 ULTRA","FPC","","","samsung|s23 ultra",""
"1114","poco x5 pro","Parlante","","","poco",""
"1120","BATERIA FOXCONN IPHONE 8g","Baterías","Baterias","","baterias|iphone|foxconn",""
"1122","BATERIA NO-POP-UP IPHONE 11 PRO MAX","Baterías","Baterias","","baterias|iphone|11 pro max",""
"1130","GLASS + OCA SAMSUNG A21","Glass","Glass","","glass|samsung|a21","Es glass/tactil/OCA, no modulo completo de pantalla."
"1131","VISOR DE CAMARA LG K41S","Visor de Camara","Visor de Camara","","visor de camara|lg|lente camara|vidrio camara","Es visor/lente/vidrio externo de camara. No es camara frontal ni camara trasera completa."
"3069","TAPAS SAMSUNG A520 CELESTE","Tapas","Tapas","","tapas|samsung|a520",""
"1136","PLACA DE CARGA VEZR MOTO E6 PLAY TURBO ","Placa de Carga","Placa de Carga","","placa de carga|moto|vezr|turbo|e6 play",""
"1139","MODULO TFT INFINIX HOT 50 PRO / ITEL S25 S/M","Modulos","Modulos","","modulos|tft|50 pro|s25",""
"1146","PRECALENTADOR DE PLACA  XZZ L2023 X-17","Herramientas e insumos","","","17",""
"1152","ESPATULA PARA REBALLING DOBLE 2UUL DA-19","Herramientas e insumos","","","19",""
"3782","ESTACION DE SOLDADO (CAUTIN) AIFEN A9 PLUS","Herramientas e insumos","Herramientas e insumos","HERRAMIENTAS VARIAS","herramientas e insumos|a9 plus","Producto de herramientas e insumos para tecnico reparador."
"1156","FLEX POWER + HUELLA SAMSUNG A14 AZUL","Power Flex","","","samsung|a14",""
"1081","BATERIA NO-POP-UP IPHONE 14 PRO","Baterías","Baterias","","baterias|iphone|14 pro",""
"3716","MODULO EXTENSIÓN PRECALENTADORA XZZ L2023","Herramientas e insumos","Modulos","","modulos",""
"1090","CAMARA FRONTAL A30S","Camaras","Camaras","","camaras","Es camara completa del equipo, no visor/lente externo de camara."
"1091","PLACA DE CARGA A52","Placa de Carga","Placa de Carga","","placa de carga|a52",""
"1092","CABLE DE ALIMENTACION (PULPO) P/ IPHONE Y ANDROID LUOWEI LW-325 ","Herramientas e insumos","Herramientas e insumos","","herramientas e insumos|iphone|325",""
"1096","MANTA RELIFE RL-160A AZUL","Herramientas e insumos","Herramientas e insumos","","herramientas e insumos",""
"1097","MODULO AMERICANO SAMSUNG A25 (A256) C/M","Modulos","Modulos","","modulos|samsung|a25|a256",""
"1098","PORTA SIM SAMSUNG A72 NEGRO","Porta Sim","Porta Sim","","porta sim|samsung|a72",""
"1112","PLACA DE CARGA VEZR XIAOMI REDMI A3 TURBO ","Placa de Carga","Placa de Carga","","placa de carga|xiaomi|redmi|vezr|turbo|a3",""
"1124","PORTA SIM IPHONE 11 NEGRO","Porta Sim","Porta Sim","","porta sim|iphone|11",""
"1126","FLEX MAIN XIAOMI REDMI 9","Main Flex","Main Flex","","main flex|xiaomi|redmi|9",""
"1129","VISOR DE CAMARA SAMSUNG S22 ULTRA ","Visor de Camara","Visor de Camara","","visor de camara|samsung|s22 ultra|lente camara|vidrio camara","Es visor/lente/vidrio externo de camara. No es camara frontal ni camara trasera completa."
"3262","FLEX DE CARGA VEZR IPHONE XS","Flex de Carga","Flex de Carga","","flex de carga|iphone|vezr",""
"2983","BATERÍA FOXCONN IPHONE 11 PRO MAX","Baterías","Baterias","","baterias|iphone|foxconn|11 pro max",""
"3772","TAPA DE IPHONE 16 PRO MAX CON MAGSAFE DORADO","Tapas","Tapas","","tapas|iphone|16 pro max",""
"1140","MANTA RELIFE RL-004D CELESTE","Herramientas e insumos","Herramientas e insumos","","herramientas e insumos",""
"1144","CHASIS IPHONE 12 AZUL","Chasis","Chasis","","chasis|iphone|12",""
"1147","ESTAÑO EN PASTA YCS 138c","Herramientas e insumos","Herramientas e insumos","HERRAMIENTAS VARIAS","herramientas e insumos","Producto de herramientas e insumos para tecnico reparador."
"1148","PLACA DE CARGA VEZR XIAOMI NOTE 12 4G TURBO","Placa de Carga","Placa de Carga","","placa de carga|xiaomi|vezr|turbo|note 12 4g",""
"1149","ESTAÑO EN PASTA YCS 183c","Herramientas e insumos","Herramientas e insumos","HERRAMIENTAS VARIAS","herramientas e insumos","Producto de herramientas e insumos para tecnico reparador."
"1150","PORTA SIM IPHONE 12 PRO MAX DORADO","Porta Sim","Porta Sim","","porta sim|iphone|12 pro max",""
"1157","FLEX MAIN XIAOMI REDMI 9S","Main Flex","Main Flex","","main flex|xiaomi|redmi",""
"1076","BATERÍA VEZR XIAOMI 12C / POCO C55 / BN5K","Baterías","Baterias","","baterias|xiaomi|poco|vezr",""
"3787","GLASS + OCA SAMSUNG S22 ","Glass","Glass","","glass|samsung|s22","Es glass/tactil/OCA, no modulo completo de pantalla."
"1083","TAPA IPHONE 16 AZUL ULTRAMAR CON MAGSAFE","Tapas","Tapas","","tapas|iphone|16",""
"1087","MODULO VEZR IPHONE XS MAX","Modulos","Modulos","","modulos|iphone|vezr",""
"1093","PLACA DE CARGA MOTOROLA G7 PLAY (AAA)","Placa de Carga","Placa de Carga","","placa de carga|motorola|moto|aaa|g7 play",""
"1100","PORTA SIM SAMSUNG A03S AZUL","Porta Sim","Porta Sim","","porta sim|samsung",""
"1105","MODULO ORIG ZTE BLADE A52 S/M","Modulos","Modulos","","modulos|zte|a52",""
"1106","PORTA SIM SM J5 PRIME/ J7 PRIME NEGRO","Porta Sim","Porta Sim","","porta sim|j5|j7",""
"1109","FLEX MAIN MOTO EDGE 20 PRO","Main Flex","Main Flex","","main flex|moto|edge 20 pro",""
"1111","VISOR DE CAMARA XIAOMI MI 11T PRO","Visor de Camara","Visor de Camara","","visor de camara|xiaomi|lente camara|vidrio camara","Es visor/lente/vidrio externo de camara. No es camara frontal ni camara trasera completa."
"1115","BATERIA DIAGNOSTICO IPHONE 13","Baterías","Baterias","","baterias|iphone|13",""
"1117","VISOR DE CAMARA SAMSUNG A05","Visor de Camara","Visor de Camara","","visor de camara|samsung|a05|lente camara|vidrio camara","Es visor/lente/vidrio externo de camara. No es camara frontal ni camara trasera completa."
"1118","ESTACION DE SOLDADURA SUNSHINE GVM T12 ","Herramientas e insumos","Herramientas e insumos","HERRAMIENTAS VARIAS","herramientas e insumos","Producto de herramientas e insumos para tecnico reparador."
"1119","PLACA DE CARGA VEZR SAMSUNG A05 TURBO ","Placa de Carga","Placa de Carga","","placa de carga|samsung|vezr|turbo|a05",""
"1121","PLACA DE CARGA XIAOMI REDMI 10 4G TURBO ","Placa de Carga","Placa de Carga","","placa de carga|xiaomi|redmi|turbo|10 4g",""
"1125","FLEX MAIN SAMSUNG A30S","Main Flex","Main Flex","","main flex|samsung",""
"1127","PLACA DE CARGA VEZR SAMSUNG GALAXY S21 PLUS CAJITA","Placa de Carga","Placa de Carga","","placa de carga|samsung|vezr|s21 plus",""
"3276","MODULO OLED LG LEON C/M","Modulos","Modulos","","modulos|lg|oled",""
"3547","PLACA DE CARGA INFINIX CAMON 18","Placa de Carga","Placa de Carga","","placa de carga|18",""
"3608","TAPAS IPHONE 12 MINI BLANCO","Tapas","Tapas","","tapas|iphone|12",""
"1133","MODULO SUNLONG OLED IPHONE 13","Modulos","Modulos","","modulos|iphone|sunlong|oled|13",""
"1134","VISOR DE CAMARA SAMSUNG S23 PLUS","Visor de Camara","Visor de Camara","","visor de camara|samsung|s23 plus|lente camara|vidrio camara","Es visor/lente/vidrio externo de camara. No es camara frontal ni camara trasera completa."
"1135","IC DE CARGA KRAKEN 12 A 12PM","Ic de Carga","","","12",""
"1138","MODULO VEZR MOTOROLA G60 / G60S / G51 SM","Modulos","Modulos","","modulos|motorola|moto|vezr|g60|g51",""
"3153","MARCO ORIG 14 PRO","","","","14 pro",""
"1143","PORTA SIM MOTO G04 ","Porta Sim","Porta Sim","","porta sim|moto|g04",""
"1145","PLACA DE CARGA SUN MOTO G04/G04S/e14","Placa de Carga","Placa de Carga","","placa de carga|moto|g04|e14",""
"1151","PORTA SIM IPHONE 11 PRO NEGRO","Porta Sim","Porta Sim","","porta sim|iphone|11 pro",""
"1153","BATERIA IPHONE IPHONE 13 PRO MAX SIN BRANDING","Baterías","Baterias","","baterias|iphone|13 pro max",""
"3553","PLACA DE CARGA INFINIX HOT 40I","Placa de Carga","Placa de Carga","","placa de carga",""
"1075","GLASS + OCA REDMI 9A","Glass","Glass","","glass|redmi","Es glass/tactil/OCA, no modulo completo de pantalla."
"1077","TAPAS MOTOROLA G14 AZUL","Tapas","Tapas","","tapas|motorola|moto|g14",""
"1080","MODULO 1° LINEA MOTO G 100 S/M XT2125","Modulos","Modulos","","modulos|moto|1|g 100",""
"1082","TRINOCULAR KAISI 36565 PLUS","Herramientas e insumos","Herramientas e insumos","HERRAMIENTAS VARIAS","herramientas e insumos","Producto de herramientas e insumos para tecnico reparador."
"1088","PLACA DE CARGA VEZR SAMSUNG A16 TURBO","Placa de Carga","Placa de Carga","","placa de carga|samsung|vezr|turbo|a16",""
"3735","FLEX HUELLA SAMSUNG A23 AZUL","Power Flex","","","samsung|a23",""
"1099","MODULO VEZR IPHONE 11 PRO","Modulos","Modulos","","modulos|iphone|vezr|11 pro",""
"1103","CAMARA TRASERA IPHONE  X","Camaras","Camaras","","camaras|iphone","Es camara completa del equipo, no visor/lente externo de camara."
"1104","MODULO VEZR SAMSUNG A02 (A022) C/M","Modulos","Modulos","","modulos|samsung|vezr|a02|a022",""
"1110","MODULO LCD SPARK GO 2024/ SPARK 20C","Modulos","Modulos","","modulos",""
"1116","BARLOW RELIFE  0.7X","Herramientas e insumos","Herramientas e insumos","","herramientas e insumos|0",""
"1123","FLEX DE CARGA VEZR IPHONE 13 PRO ","Flex de Carga","Flex de Carga","","flex de carga|iphone|vezr|13 pro",""
"1128","PLACA DE CARGA A03 ","Placa de Carga","Placa de Carga","","placa de carga|a03",""
"3548","PLACA DE CARGA SPARE PARTS INFINIX SMART 8 PRO","Placa de Carga","Placa de Carga","","placa de carga|8 pro",""
"1132","MANTA TERMICA AZUL RELIFE RL-160A","Herramientas e insumos","Herramientas e insumos","","herramientas e insumos",""
"1137","TAPA IPHONE 8 PLUS BLANCO","Tapas","Tapas","","tapas|iphone|8 plus",""
"1142","GLASS MATE 20 LITE","Glass","Glass","","glass|20 lite","Es glass/tactil/OCA, no modulo completo de pantalla."
"1154","PLACA DE CARGA VEZR SAMSUNG A73 TURBO ","Placa de Carga","Placa de Carga","","placa de carga|samsung|vezr|turbo|a73",""
"1155","IPHONE 14 PRO/14/14PM U2","Ic de Carga","","","iphone|14 pro|14",""
"1160","FLEX MAIN SAMSUNG S20 ULTRA","Main Flex","Main Flex","","main flex|samsung|s20 ultra",""
"1167","IC IPHONE 11/11 U2","Ic de Carga","","","iphone|11",""
"1171","DESTORNILLADOR GRIFFIN GF17 0.6","Herramientas e insumos","Herramientas e insumos","HERRAMIENTAS VARIAS","herramientas e insumos|0|6",""
"1180","PLACA DE CARGA MECHANIC MOTOROLA EDGE 30 NEO","Placa de Carga","Placa de Carga","","placa de carga|motorola|moto|mechanic|edge 30 neo",""
"1185","MODULO DE IPHONE 13 PRO MAX ORIGINAL 100%","Modulos","Modulos","","modulos|iphone|original|13 pro max|100",""
"1189","FLEX DE CARGA IPHONE 12 PRO MAX ","Flex de Carga","Flex de Carga","","flex de carga|iphone|12 pro max",""
"1190","PLACA DE CARGA VEZR MOTOROLA E7 POWER TURBO ","Placa de Carga","Placa de Carga","","placa de carga|motorola|moto|vezr|turbo|e7 power",""
"3764","PLATAFORMA REBALLING P/ CHIPS BGA DEL IPHONE X AL 16PM MIJING","Herramientas e insumos","","","iphone",""
"1194","VISOR DE CAMARA SAMSUNG A05S","Visor de Camara","Visor de Camara","","visor de camara|samsung|lente camara|vidrio camara","Es visor/lente/vidrio externo de camara. No es camara frontal ni camara trasera completa."
"1195","MODULO SUNLONG SOFT OLED  12 PRO MAX","Modulos","Modulos","","modulos|sunlong|oled|12 pro max",""
"1196","FLEX SPEAKER SENSOR IPHONE 12 MINI","Speaker","Parlante","","parlante|iphone|12",""
"1199","MODULO LG F60 S/M","Modulos","Modulos","","modulos|lg",""
"1202","FLEX MAIN VEZR SAMSUNG A32/A22 4G","Main Flex","Main Flex","","main flex|samsung|vezr|a32|a22 4g",""
"3616","TAPAS IPHONE 14 PRO BLANCO","Tapas","Tapas","","tapas|iphone|14 pro",""
"1208","PORTA SIM IPHONE 11 PRO PLATA","Porta Sim","Porta Sim","","porta sim|iphone|11 pro",""
"1210","BRUCELA (PINZA)2UUL 3D","Herramientas e insumos","Herramientas e insumos","HERRAMIENTAS VARIAS","herramientas e insumos",""
"1212","MODULO SAMSUNG GALAXY S10 PLUS INCELL C/M ","Modulos","Modulos","","modulos|samsung|incell|s10 plus",""
"1221","BATERIA VEZR SAMSUNG S23 PLUS / EB-BS916ABY","Baterías","Baterias","","baterias|samsung|vezr|s23 plus",""
"3520","PLACA DE CARGA XIAOMI REDMI NOTE 9S (AAA)","Placa de Carga","Placa de Carga","","placa de carga|xiaomi|redmi|aaa",""
"1168","FLEX MAIN REDMI NOTE 7 ","Main Flex","Main Flex","","main flex|redmi|note 7",""
"1172","VIDRIO OCA IPHONE 6S NEGRO","Glass","Glass","","glass|iphone","Es glass/tactil/OCA, no modulo completo de pantalla."
"1173","BATERIA FOXCONN IPHONE 15 CAJA NEGRA","Baterías","Baterias","","baterias|iphone|foxconn|15",""
"1178","FLEX DE CARGA VEZR IPHONE 11 PRO MAX ","Flex de Carga","Flex de Carga","","flex de carga|iphone|vezr|11 pro max",""
"3539","PLACA DE CARGA INFINIX POVA 3","Placa de Carga","Placa de Carga","","placa de carga|3",""
"1179","MODULO OLED G9 PLUS S/M","Modulos","Modulos","","modulos|oled|g9 plus",""
"3660","FLEX HUELLA MOTO G10 NEGRO ","Sensor Huella","","","moto|g10",""
"1191","ALTAVOZ SAMSUNG A14 5G","Parlante","Parlante","","parlante|samsung|a14 5g",""
"3706","iphone 12 128Gb SWAP GRADO A+","Celulares","","","iphone|12",""
"1192","TAPA IPHONE 8 PLUS NEGRO","Tapas","Tapas","","tapas|iphone|8 plus",""
"3013","BATERIA SAMSUNG EB-BG360CBE","Baterías","Baterias","","baterias|samsung",""
"1198","GLASS + OCA CN MARCO IPHONE 14 PRO MAX","Glass","Glass","","glass|iphone|14 pro max","Es glass/tactil/OCA, no modulo completo de pantalla."
"3576","CARGADORES PLC CABLE TYPE-C TO LIGHTNING","","Accesorios","","accesorios",""
"3066","TAPAS XIAOMI POCO M3 NEGRO NEGRO","Tapas","Tapas","","tapas|xiaomi|poco|m3",""
"1201","MODULO SVC SAMSUNG A52 C/M","Modulos","Modulos","","modulos|samsung|a52",""
"1204","MINI LAMPARA UV YCS","Herramientas e insumos","Herramientas e insumos","","herramientas e insumos",""
